Customer ID,Customer Name,Segment,City,State
CG-12520,Claire Gute,Consumer,Henderson,Kentucky
CG-12520,Claire Gute,Consumer,Henderson,Kentucky
DV-13045,Darrin Van Huff,Corporate,Los Angeles,California
SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida
SO-20335,Sean O'Donnell,Consumer,Fort Lauderdale,Florida
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California
BH-11710,Brosina Hoffman,Consumer,Los Angeles,California
AA-10480,Andrew Allen,Consumer,Concord,North Carolina
IM-15070,Irene Maddox,Consumer,Seattle,Washington
HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas
HP-14815,Harold Pawlan,Home Office,Fort Worth,Texas
PK-19075,Pete Kriz,Consumer,Madison,Wisconsin
AG-10270,Alejandro Grove,Consumer,West Jordan,Utah
ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California
ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California
ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California
KB-16585,Ken Black,Corporate,Fremont,Nebraska
KB-16585,Ken Black,Corporate,Fremont,Nebraska
SF-20065,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania
EB-13870,Emily Burns,Consumer,Orem,Utah
EH-13945,Eric Hoffmann,Consumer,Los Angeles,California
EH-13945,Eric Hoffmann,Consumer,Los Angeles,California
TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania
TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania
TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania
TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania
TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania
TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania
